//Database Version
@@DATABASE=;VER=1;REV=0;EDIT=18
//Compatibility with the software
@@SOFT=446;VER=1;REV=0
00:292A:00:00:05;009C;02;;;2020;39;met/conf/compa/6/em;0;0;1;0;0;
00:292A:00:00:06;009D;02;;;2020;3A;met/conf/compa/7/em;0;0;1;0;0;
00:292A:00:00:07;009E;02;;;2020;3B;met/conf/compa/8/em;0;0;1;0;0;
00:292A:00:00:08;009F;02;;;2020;3C;met/conf/compa/9/em;0;0;1;0;0;
00:2930:00:00:00;00C8;02;;;2030;01;met/conf/timing/pump_byp/in_pulse;0;0;0;0;0;
00:2931:00:00:00;00C9;02;;;2030;02;met/conf/timing/pum_byp/dep_pulse;0;0;0;0;0;
00:2932:00:00:00;00CA;02;;;2030;03;met/conf/timing/manifold/fill;0;0;0;0;0;
00:2933:00:00:00;00CB;02;;;2030;04;met/conf/timing/manifold/drainn;0;0;0;0;0;
00:2934:00:00:00;00CC;02;;;2030;05;met/conf/timing/manifold/wet_prb;0;0;0;0;0;
00:2935:00:00:00;00CD;64;;;2030;06;met/conf/timing/api_adpt/open_increm;0;0;0;0;0;
00:2936:00:00:00;00CF;64;;;2030;07;met/conf/timing/api_adpt/open_relax;0;0;0;0;0;
00:2937:00:00:00;00D1;64;;;2030;08;met/conf/timing/api_adpt/close_increm;0;0;0;0;0;
00:2938:00:00:00;00D3;64;;;2030;09;met/conf/timing/api_adpt/close_relax;0;0;0;0;0;
00:2939:00:00:00;00D5;64;;;2030;0A;met/conf/timing/api_adpt/anti_vrt_stop;0;0;0;0;0;
00:0301:00:00:00;00FA;04;;;2030;0B;met/conf/unit/em/a/display/main;0;0;1;0;0;
00:0301:00:00:01;00FC;04;;;2030;0C;met/conf/unit/em/a/display/preset;0;0;0;0;0;
00:0301:00:00:02;00FE;04;;;2030;0D;met/conf/unit/em/a/display/flow;0;0;0;0;0;
00:0301:00:00:03;0100;04;;;2030;0E;met/conf/unit/em/a/display/weight;0;0;0;0;0;
00:0301:01:00:00;0102;04;;;2030;0F;met/conf/unit/em/b/display/main;0;0;1;0;0;
00:0301:01:00:01;0104;04;;;2030;10;met/conf/unit/em/b/display/preset;0;0;0;0;0;
00:0301:01:00:02;0106;04;;;2030;11;met/conf/unit/em/b/display/flow;0;0;0;0;0;
00:0301:01:00:03;0108;04;;;2030;12;met/conf/unit/em/b/display/weight;0;0;0;0;0;
00:0310:00:00:00;010A;01;;;2030;13;met/conf/unit/volume;0;0;0;0;0;
00:0311:00:00:00;010B;01;;;2030;14;met/conf/accur/volume;0;0;0;0;0;
00:0320:00:00:00;010C;01;;;2030;15;met/conf/unit/mass;0;0;0;0;0;
00:0321:00:00:00;010D;01;;;2030;16;met/conf/accur/mass;0;0;0;0;0;
00:0304:00:00:00;010E;01;;;2030;17;met/conf/unit/flowrate;0;0;1;0;0;
00:0315:00:00:00;010F;01;;;2030;18;met/conf/accur/flowrate;0;0;0;0;0;
00:0300:00:00:00;0110;01;;;2030;19;met/conf/unit/principal;0;0;0;0;0;
00:295E:00:00:00;0111;01;;;2030;1A;met/conf/density_zone;0;0;0;0;0;
00:295F:00:00:00;0112;01;;;2030;1B;met/conf/density_polynom;0;0;0;0;0;
00:E003:00:00:00;0113;64;;;2030;1C;met/conf/fam0/visco_poly0;0;0;0;0;;
00:E003:00:00:01;0115;64;;;2030;1D;met/conf/fam0/visco_poly1;0;0;0;0;;
00:E003:00:00:02;0117;64;;;2030;1E;met/conf/fam0/visco_poly2;0;0;0;0;;
00:E003:00:00:03;0119;64;;;2030;1F;met/conf/fam0/visco_poly3;0;0;0;0;;
00:E003:01:00:00;011B;64;;;2030;20;met/conf/fam1/visco_poly0;0;0;0;0;;
00:E003:01:00:01;011D;64;;;2030;21;met/conf/fam1/visco_poly1;0;0;0;0;;
00:E003:01:00:02;011F;64;;;2030;22;met/conf/fam1/visco_poly2;0;0;0;0;;
00:E003:01:00:03;0121;64;;;2030;23;met/conf/fam1/visco_poly3;0;0;0;0;;
00:0304:01:00:00;0123;01;;;2030;24;met/conf/unit2/flowrate;0;0;1;0;0;
00:0301:02:00:00;0124;04;;;2030;25;met/conf/unit/em/c/display/main;0;0;0;0;0;
